	PPN	Bibliographische Gattung und Status	Sprache	Erscheinungsjahr	Erscheinungsort	Erscheinungsort GND	Titel	Verfasservorname	Verfassername	GND Verfasser	1. Weitere Verfasser Vorname	1. Weitere Verfasser Nachname	1. Weitere Verfasser GND	2. Weitere Verfasser Vorname	2. Weitere Verfasser Nachname	2. Weitere Verfasser GND	1. Weitere Person Vorname	1. Weitere Person Nachname	1. Weitere Person GND	2. Weitere Person Vorname	2. Weitere Person Nachname	2. Weitere Person GND	1. Sonstige Person Vorname	1. Sonstige Person Nachname	1. Sonstige Person GND	2. Sonstige Person Vorname	2. Sonstige Person Nachname	2. Sonstige Person GND
841	151323186	Aar	fre	1708	Bruxelles		L'Esprit ; ou Le plus belles pensées de ce grand philosophe; enseignant l'art de bien vivre. pour servir de guide à conduire nos passions ... : Augmentée de la mort & des dernières paroles de ce philosophe	Lucius Annaeus	Seneca	gnd/118613200																		
842	151323194	Acr	fre	1754	Gotha		Pensées	Lucius Annaeus	Seneca	gnd/118613200							Laurent Angliviel	La Beaumelle	gnd/116098600									
843	151323895	Acr	lat	1664	Lutetiae Parisiorum		Tragoediarum tomus ...	Lucius Annaeus	Seneca	gnd/118613200							Michel	Marolles	gnd/124924719									
844	151326002	Acr	fre	1731	Amsterdam		Tacite ; avec des notes politiques et historiques	Cornelius	Tacitus	gnd/118620452							Abraham Nicolas	Amelot de la Houssaie	gnd/100008569									
845	151334749	Acu	fre	1660	Paris		Histoire Generale Des Voyages Et Conqvestes des Castillans, dans les Isles & Terre-ferme des Indes Occidentales	Antonio	Herrera y Tordesillas	gnd/124683738							Nicolas	LaCoste	gnd/1157608957									
846	151353115	Aar	fre	1662	Paris		Les affaires qui sont aujourd'huy entre les maisons de France et d'Austriche ; Sur la copie impr. és Pays-Bas																					
847	151354928	Acus	fre	1674	Amsterdam		Abrege Historique Des Guerres Des Rois De France Et D'Angleterre; De L'Electeur De Cologne Et De L'Eveque De Munster; Contre Les Provinces Unies, En l'année 1672, & suivantes ; Divisé en divers Tomes																					
848	151354987	Aar	fre	1676	Ville-Franche		Abregé de la vie de mr. de Turenne, ou reflexions sur quelques affaires de temps																					
849	151355002	Aar	fre	1726	Paris		Abregé des vies des anciens philosophes, avec une recueil de leurs plus belles Maximes	François de Salignac de La Mothe	Fénelon	gnd/118532464																		
850	151372691	Aaus	fre	1707	Amsterdam		Recherches Historiques Et Genealogiques Des Grands D'Espagne ; Avec un Etat de ceux qui vivent aujour-d'hui, contenant leur Extraction, leurs Noms, leurs Qualitez, leurs Alliances, leur Posterité, leurs Armes & Blazons ...	Jacob Wilhelm	Imhof	gnd/117129852																		
851	151379793	Aau	fre	1724	Rome		Les Avantures De Pomponius, Chevalier Romain, Ou L'Histoire De notre Tems	Jean	Labadie	gnd/118938096							Antoine François	Prévost d'Exilles	gnd/118596462									
852	151383235	Afr	fre	1679	Paris		De l`Excellence des hommes, contre l'égalitè des sexes	François	LaBarre	gnd/105559275X																		
853	151383650	Aaus	fre	1749	Paris		L'Asiatique Tolérant ; Traité À L'Usage De Zéokinizul Roi Des Kofirans ... ; Ouvrage traduit de l'Arabe du Voïageur Bekrinoll	Laurent Angliviel	La Beaumelle	gnd/116098600							Claude Prosper Jolyot	Crébillon	gnd/118677276	...	B**	leer						
854	151383715	Acus	fre	1755	Amsterdam		Mémoires pour Servir à l'histoire De Madame De Maintenon et à celle du Siècle passé	Laurent Angliviel	La Beaumelle	gnd/116098600													leer	leer	gnd/118640798			
855	151383871	Acu	fre	1748	Paris		Histoire De L'Empereur Jovien Et Traductions de quelques ouvrages de l'Empereur Julien	Jean Philippe René	La Bléterie	gnd/100170129													leer	leer	gnd/102396337			
856	151385076	Aar	fre	1699	Paris		Les Oeuvres de Monsieur de La Chapelle ; [Pieces Contenüe en ce Volume. Zaide. Les carosses d'Orleans. Cleopatre. Telephonte]	Jean	La Chapelle	gnd/100170528																		
857	151385149	Acr	fre	1742	LaHaye		Les Amours de Catulle et de Tibulle ; Avec quelques autres pieces du même auteur	Jean	La Chapelle	gnd/100170528																		
858	151385327	Aaus	fre	1706	Amsterdam		Le Grand Cabinet Romain Ou Recueil D'Antiquitez Romaines, Qui consistenten Bas Reliefs, Statues des Dieux & des Hommes, Instruments Sacerdotaux, Lampes, Urnes, Seaux, Brasselets, Clefs, Anneaux, & Phioles lacrimales, Que L'On Trouve A Rome	Michel-Ange	La Chausse	gnd/117571644							Joachim	Roche	gnd/142908703				C.	Luijkenin	leer	I.	Geeree	leer
859	151386161	Aar	fre	1664	Paris		Les Plaidoyez et harangues	Antoine	Le Maistre	gnd/122427831							Jean	Issali	gnd/1055345329									
860	151386196	Acus	fre	1738	A La Haye	gnd/4011446-6	Traité Du Vrai Merite De L'Homme ; Consideré dans tous les Ages & dans toutes les Conditions : Avec Des Principes D'Education, Propres à former les Jeunes Gens à la Vertu	Charles-François-Nicolas	Le Maître de Claville	gnd/100085326							Jean	Duren	gnd/104288418									
861	151388075	Acr	fre	1738	LaHaye+		[A fair State of the controversy between Mr. Woolston and his adversaries <franz.>] Le Sens litteral de l'écriture sainte, défendu contre les principales objections des anti-scripturaires et des incrédules modernes. Traduit de anglois de Stackhouse. Avec une dissertation du traducteur [d.i. Charles Chais] Sur les Démoniaques dont il est fait mention dans l'évangile.	Thomas	Stackhouse	gnd/1012328732							Charles	Chais	gnd/100080413				Thomas	Woolston	gnd/120631156			
862	151389292	Acu	fre	1704	Rotterdam		Pensées Diverses, Ecrites à un Docteur De Sorbonne, A l'occasion de la Comete qui parut au mois de Decembre 1680	Pierre	Bayle	gnd/11850777X																		
863	151390401	Aar	fre	1658	Paris		Saint Louys ; ou La sainte couronne reconquise. Poëme héroique	Pierre	Le Moyne	gnd/118571486																		
864	151391661	Acr	fre	1700	Amsterdam		Les Décades	Titus	Livius	gnd/118573624							Pierre	Du Ryer	gnd/118888552									
865	151393427	Acr	fre	1749	Paris		De la Recherche de la verité	Nicolas	Malebranche	gnd/118576682																		
866	151393656	Aar	fre	1641	Troyes		Les Oeuvres	François	Malherbe	gnd/11873038X																		
867	151393729	Aar	fre	1659	Paris		Les Lettres	François	Malherbe	gnd/11873038X																		
