	PPN	Signatur 1	Signatur 2	Signatur 3	Signatur 4	Signatur 5	Anmerkung 1	Anmerkung 2	Anmerkung 3	Provenienz 1	Provenienz 2	Provenienz 3
1098	245810226	M: Lm 166	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1099	246465360	M: Gs 560:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1100	246735317	M: Gh 220	leer	leer	leer	leer	Raabe & Strutz, Lessings Bucherwerbungen, Nr. <91>	leer	leer	Lessing, Gotthold Ephraim	leer	leer
1101	247349496	M: Gr 667:1,1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1102	247360279	M: Gr 831:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1103	247696617	M: Lm 4008 (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1104	248029339	M: Lm 167	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1105	248619047	M: Lk 584	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1106	248884360	M: Gf 4° 47:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Dumas de Montbail <Familie>	leer
1107	248929496	M: Gs 369	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1108	249216809	M: Aa 106:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1109	249683539	M: Lm 915:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1110	251200388	M: Tq 917	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1111	251225232	M: Lm 2760:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Montbail, Marthe Dumas ^de^
1112	251484424	M: Lm 1157:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1113	251886573	M: Tq 1306	Wa 1156	leer	leer	leer	leer	leer	leer	leer	leer	leer
1114	251972720	M: Lm 2252	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1115	251976416	M: Gi 10	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1116	252060911	M: Gs 442	H: T 946a.8° Helmst.	leer	leer	leer	Mehrfache Signaturengebung der Bibliothek des Gebhard Werner von der Schulenburg (?) - Stempel: Ex Bibliotheca Academiae Ivliae Carolinae Helmstadii	leer	leer	Provenienz: Schulenburg, Gebhard Werner ^von der^ [?] / Signatur	Provenienz: Universitätsbibliothek <Helmstedt> / Stempel	Provenienz: Universitätsbibliothek <Helmstedt> / Signatur
1117	252214757	M: Lm 2913	M: Gr 289	leer	leer	leer	leer	leer	leer	leer	leer	leer
1118	252246160	M: Lh 1633	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1119	253096111	M: Lg 2° 79	leer	leer	leer	leer	Wappen-Exlibris: Elisabetha Sophia Maria Verwittwete Herzogin Zu Br. U. Lun	leer	leer	Provenienz: Elisabeth Sophie Marie <Braunschweig-Lüneburg, Herzogin> / Exlibris / Wappen	Provenienz: NN / Nummer / Signatur	Provenienz: NN / Signatur
1120	253096111	M: Lg 2° 79	leer	leer	leer	leer	Wappen-Exlibris: Elisabetha Sophia Maria Verwittwete Herzogin Zu Br. U. Lun	leer	leer	Provenienz: Elisabeth Sophie Marie <Braunschweig-Lüneburg, Herzogin> / Exlibris / Wappen	Provenienz: NN / Nummer / Signatur	Provenienz: NN / Signatur
1121	253218071	M: Lh 2° 19	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1122	253219442	M: Lm 4010:1 (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1123	253220084	M: Lm 4010:6	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
1124	253236657	M: Lm 1338	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1125	253259940	M: Gv 1007:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1126	253404843	M: Lh 1700	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1127	253456487	M: Lm 1546:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1128	253528755	M: Lm 3385	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
1129	253791502	M: Gg 312:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
